Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
48060,3.0,1,-0.011411873291487807,0.0001817634244567855,4,Calculado
48061,3.0,1,-0.0450154528460829,0.00019551396485240514,4,Calculado
48062,3.0,1,-0.034819104753290114,0.00019924751187042793,4,Calculado
48063,3.0,1,-0.045480299281642426,0.00020271351648290905,4,Calculado
48202,3.0,1,-0.11213910394798471,0.00020168673021832195,4,Calculado
48203,3.0,1,-0.08484759766817808,0.0001658205367684245,4,Calculado
48204,3.0,1,-0.05306294827673689,0.00020340428406602677,4,Calculado
48205,3.0,1,,,0,Descartado
48476,3.0,1,-0.0954822423616032,0.00020550639878338004,4,Calculado
48477,3.0,1,-0.09487417686065353,0.0002018548807574011,4,Calculado
48478,3.0,1,,,0,Descartado
48479,3.0,1,-0.07791779896480759,0.00018562400751457022,4,Calculado
48480,4.0,1,-0.05502347292872784,0.00024555940998559285,3,Calculado
48481,4.0,1,-0.05934345642782199,0.0002611013284258448,3,Calculado
48482,4.0,1,-0.01917323706540931,0.0002632645966372183,3,Calculado
48483,4.0,1,0.018410972843478455,0.00027212222557550513,3,Calculado
48484,4.0,1,-0.001632229737234901,0.00025306945934213575,3,Calculado
48485,4.0,1,,,0,Descartado
48486,4.0,1,0.03661503916507563,0.00026985690670937453,3,Calculado
48487,4.0,1,-0.07412832487536547,0.0002672476223606101,3,Calculado
48488,4.0,1,0.009010170347349336,0.0002718964297180771,3,Calculado
48489,4.0,1,0.007723982752561823,0.00027054566004758583,3,Calculado
48490,4.0,1,,,0,Descartado
48491,4.0,1,-0.06882891652826423,0.00023114466305627766,3,Calculado
48492,5.0,1,-0.02109925077550062,0.00023037867136446467,4,Calculado
48493,5.0,1,-0.07654966255906681,0.0002458077459871905,4,Calculado
48494,5.0,1,-0.01246864779082389,0.00025793404654204363,4,Calculado
48495,5.0,1,0.012118340027337382,0.0002586006996330429,4,Calculado
48672,5.0,1,-0.08360066880924369,0.0002505805735175295,4,Calculado
48673,5.0,1,-0.0592034057342586,0.00021910693518982968,4,Calculado
48674,5.0,1,-0.03643691015451753,0.0002520001483972643,4,Calculado
48675,5.0,1,-0.04181367171153149,0.00025127223659158414,4,Calculado
48797,5.0,1,,,0,Descartado
48798,5.0,1,-0.044101332939090694,0.0002549291530629367,4,Calculado
48799,5.0,1,-0.009062055026324775,0.0002495498271615766,4,Calculado
48800,5.0,1,-0.05505083586053987,0.00023141538093537456,4,Calculado
48726,6.0,1,-0.024823507827233273,0.00024926851397652895,3,Calculado
48727,6.0,1,-0.03150939272722503,0.0002627113126008347,3,Calculado
48728,6.0,1,-0.025539100356360804,0.0002680661856706899,3,Calculado
48729,6.0,1,0.18170602850805948,0.00026826557872203314,3,Calculado
48730,6.0,1,-0.051131327929193726,0.00026905001158507525,3,Calculado
48731,6.0,1,-0.03258780654367827,0.00024140997261374014,3,Calculado
48732,6.0,1,-0.03818622032883048,0.0002700595958806737,3,Calculado
48733,6.0,1,,,0,Descartado
48734,6.0,1,-0.04679199512602557,0.0002700227945719773,3,Calculado
48735,6.0,1,-0.04947251219226935,0.0002717265833323271,3,Calculado
48746,6.0,1,,,0,Descartado
48747,6.0,1,-0.050924574021494674,0.0002498863711022247,3,Calculado
48748,7.0,1,-0.007345521060568117,0.00020753949672262868,4,Calculado
48749,7.0,1,-0.024239123086169587,0.00021903400460289964,4,Calculado
48750,7.0,1,-0.005678026839457267,0.00022251975635444318,4,Calculado
48751,7.0,1,,,0,Descartado
48752,7.0,1,-0.08971139736418768,0.0002247716393271846,4,Calculado
48753,7.0,1,-0.059124540465683516,0.0002032491643096948,4,Calculado
48754,7.0,1,,,0,Descartado
48755,7.0,1,0.013727939093879737,0.00022583427798710003,4,Calculado
48836,7.0,1,,,0,Descartado
48837,7.0,1,-0.035910643891266913,0.00022907037093386395,4,Calculado
48838,7.0,1,-0.00144844448531651,0.00022992934122054246,4,Calculado
48839,7.0,1,-0.04173213328895197,0.00020479058835135586,4,Calculado
48840,8.0,1,-0.047101828814276867,0.00021536277745562638,4,Calculado
48841,8.0,1,,,0,Descartado
48842,8.0,1,-0.08535656112445185,0.00023252073545606866,4,Calculado
48843,8.0,1,-0.047025234672322926,0.00023287311968877276,4,Calculado
48844,8.0,1,-0.051538793866999826,0.0002331804598575456,4,Calculado
48845,8.0,1,-0.02128952657956069,0.00021323160381002884,4,Calculado
48846,8.0,1,-0.019164326912723233,0.00023748255704910285,4,Calculado
48847,8.0,1,-0.046396605792679874,0.00024110647572194704,4,Calculado
48848,8.0,1,,,0,Descartado
48849,8.0,1,0.012155832150851774,0.0002361532583545601,4,Calculado
48850,8.0,1,-0.06320048463248343,0.00023597487696602775,4,Calculado
48851,8.0,1,0.022369942708388078,0.00021020081103720301,4,Calculado
48852,9.0,1,0.0881593869641774,0.00016351199070215242,4,Calculado
48853,9.0,1,0.13437504250452018,0.00017889697284126274,4,Calculado
48854,9.0,1,0.11009314343587774,0.0001798144058622041,4,Calculado
48855,9.0,1,0.3115721292279694,0.00018252516527933617,4,Calculado
48856,9.0,1,0.12133665306670781,0.00018293239168695516,4,Calculado
48857,9.0,1,0.029842760312078484,0.00014592251883761603,4,Calculado
48858,9.0,1,0.17085261678945715,0.00018863450501751294,4,Calculado
48859,9.0,1,0.0588026326134168,0.00019223064349848846,4,Calculado
48860,9.0,1,0.19732640883284194,0.00019219787321437862,4,Calculado
48861,9.0,1,0.17112238285118364,0.00019349845237605291,4,Calculado
48862,9.0,1,0.1636178658681573,0.00018951690996563537,4,Calculado
48863,9.0,1,0.33121159709870374,0.00016258417478995715,4,Calculado
48864,10.0,1,-0.0009118813939313755,0.00022079718605915033,3,Calculado
48865,10.0,1,-0.06217019609443168,0.00023697548022268367,3,Calculado
48866,10.0,1,0.43354210667577614,0.000247640581847088,3,Calculado
48867,10.0,1,0.049875229680308206,0.0002505997235650206,3,Calculado
48868,10.0,1,-0.025055468584428697,0.00025072548479715336,3,Calculado
48869,10.0,1,-0.055100663717808605,0.00022033860485281594,3,Calculado
48870,10.0,1,0.48328526660689,0.0002546927581583688,3,Calculado
48871,10.0,1,0.4659530110875937,0.00025081391000719076,3,Calculado
48872,10.0,1,0.42595676385281445,0.00025632082768311815,3,Calculado
48873,10.0,1,0.46515478994141174,0.0002531461460184383,3,Calculado
48874,10.0,1,-0.05164856795829879,0.00025126135782337316,3,Calculado
48875,10.0,1,0.5134758791919402,0.00020276420974370035,3,Calculado
48876,11.0,1,-0.08272867155749898,0.00018992156831275692,4,Calculado
48877,11.0,1,0.47656510308966143,0.00020306274539622242,4,Calculado
48878,11.0,1,0.4413335949138344,0.00020920043915482163,4,Calculado
48879,11.0,1,-0.0005218161257679296,0.00021029831219198224,4,Calculado
48880,11.0,1,0.46262746176485314,0.00021310783413489373,4,Calculado
48881,11.0,1,-0.048982057641664065,0.0002174403616851101,4,Calculado
48882,11.0,1,0.42611426795900886,0.0002208152284300055,4,Calculado
48883,11.0,1,0.5118779144176149,0.0002188957394191707,4,Calculado
48884,11.0,1,0.38492186938313855,0.00018438520141447594,4,Calculado
48885,11.0,1,0.3955587352892544,0.00022129275745744808,4,Calculado
48886,11.0,1,0.507606658139375,0.00021876941474982292,4,Calculado
48887,11.0,1,0.3931646666099067,0.00018166821991175887,4,Calculado
48900,13.0,1,0.4460396605656914,0.0001909901840143538,4,Calculado
48901,13.0,1,0.3668743991843462,0.00020840015517556746,4,Calculado
48902,13.0,1,0.39308716366846286,0.0002123483311706627,4,Calculado
48903,13.0,1,0.42867435127299697,0.0002143568188492892,4,Calculado
48904,13.0,1,0.4362023712236643,0.00022146062862401033,4,Calculado
48905,13.0,1,0.40285749331384085,0.00018393341176553877,4,Calculado
48906,13.0,1,-0.03110485060701898,0.00022840683567370345,4,Calculado
48907,13.0,1,0.4928587469915357,0.00022019456483115494,4,Calculado
48908,13.0,1,-0.07662625519770916,0.00022053288583676525,4,Calculado
48909,13.0,1,0.409879697213928,0.00021808028835462636,4,Calculado
48910,13.0,1,0.5338541394790701,0.00021614141522737529,4,Calculado
48911,13.0,1,-0.0453743779793776,0.00018165963859429526,4,Calculado
48912,14.0,1,-0.3487401004073856,0.00022678126167035225,3,Calculado
48913,14.0,1,-0.3446096961746077,0.00026695436787193335,3,Calculado
48914,14.0,1,-0.3087203555062318,0.00028607380633234017,3,Calculado
48915,14.0,1,-0.31280568926618835,0.00030041155610992286,3,Calculado
48956,14.0,1,0.25396781797196843,0.00022563593587098327,3,Calculado
48957,14.0,1,,,0,Descartado
48958,14.0,1,0.11751412885294064,0.0002847970699658102,3,Calculado
48959,14.0,1,0.1704920035218177,0.000303441423372394,3,Calculado
48960,14.0,1,,,0,Descartado
48961,14.0,1,,,0,Descartado
48962,14.0,1,0.1043205819043079,0.00027651502323872433,3,Calculado
48963,14.0,1,0.17165936969771453,0.00020048294902254068,3,Calculado
48516,15.0,1,-0.11180910706948975,0.0001924425818629893,4,Calculado
48517,15.0,1,0.023938442793494906,0.0002130365569413357,4,Calculado
48518,15.0,1,-0.09793203305845105,0.00021625027932719129,4,Calculado
48519,15.0,1,-0.03444733125301559,0.00021744675472178948,4,Calculado
48520,15.0,1,,,0,Descartado
48521,15.0,1,-0.047018120420476685,0.00017878051680218554,4,Calculado
48522,15.0,1,0.024278101653564987,0.00021844802151439247,4,Calculado
48523,15.0,1,-0.013402955974220056,0.0002143602388361438,4,Calculado
48524,15.0,1,-0.08480668237699869,0.0002172745816634872,4,Calculado
48525,15.0,1,-0.1006328097791638,0.0002152682595678208,4,Calculado
48964,15.0,1,0.4072917972889491,0.00017656482194102307,4,Calculado
48965,15.0,1,,,0,Descartado
49101,16.0,1,-0.05366286866331355,0.00023509709521310487,3,Calculado
49102,16.0,1,-0.07253651558993121,0.00025069286529863413,3,Calculado
49103,16.0,1,0.44307097514874366,0.00025574869289938216,3,Calculado
49104,16.0,1,0.40477322399628296,0.00027027630344181157,3,Calculado
49105,16.0,1,0.37633673098560905,0.00027470896753839204,3,Calculado
49106,16.0,1,0.4134721929312132,0.00019174884294847553,3,Calculado
49107,16.0,1,,,0,Descartado
49108,16.0,1,,,0,Descartado
