Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
48060,3.0,1,0,48060,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.011411873291487807,0.0001817634244567855
48060,3.0,1,1,48060,48203,3.0,0.07362396261570762,0.00018336642716122755,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.009735757084397528,0.00031956034767939985
48060,3.0,1,2,48060,48203,3.0,0.07362396261570762,0.00018336642716122755,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.012228159868269368,0.00034457166495857963
48060,3.0,1,3,48060,48479,3.0,0.0663554526940501,0.00017564851434330925,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.011019235433571348,0.0003975425470428784
48060,3.0,1,4,48060,48479,3.0,0.0663554526940501,0.00017564851434330925,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.013511638217443188,0.00041791254251659875
48061,3.0,1,0,48061,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.0450154528460829,0.00019551396485240514
48061,3.0,1,1,48061,48203,3.0,0.040048643722405526,0.0002314537643279663,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.04331107597769963,0.00034938004267658296
48061,3.0,1,2,48061,48203,3.0,0.040048643722405526,0.0002314537643279663,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.04580347876157147,0.00037239391872591
48061,3.0,1,3,48061,48479,3.0,0.032780133800748006,0.00022538855117934387,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.044594554326873447,0.00042188585555935767
48061,3.0,1,4,48061,48479,3.0,0.032780133800748006,0.00022538855117934387,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.04708695711074529,0.00044113319032283206
48062,3.0,1,0,48062,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.034819104753290114,0.00019924751187042793
48062,3.0,1,1,48062,48203,3.0,0.05025170496540233,0.0002434618870799672,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.033108014734702824,0.0003574482615143678
48062,3.0,1,2,48062,48203,3.0,0.05025170496540233,0.0002434618870799672,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.035600417518574665,0.00037997378349432555
48062,3.0,1,3,48062,48479,3.0,0.04298319504374481,0.00023770326973282602,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.034391493083876644,0.00042859132114405225
48062,3.0,1,4,48062,48479,3.0,0.04298319504374481,0.00023770326973282602,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.036883895867748484,0.00044755037374953995
48063,3.0,1,0,48063,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.045480299281642426,0.00020271351648290905
48063,3.0,1,1,48063,48203,3.0,0.03959642275996655,0.0002543154338209858,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.043763296940138606,0.00036492726546349117
48063,3.0,1,2,48063,48203,3.0,0.03959642275996655,0.0002543154338209858,48203,48747,49.0,-0.03283229992253391,0.0002636008390786316,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.046255699724010446,0.0003870177328779782
48063,3.0,1,3,48063,48479,3.0,0.03232791283830903,0.0002488081466927764,48479,48484,49.0,-0.07737468812762145,0.00035663381235985953,48484,48484,57.0,0.0,0.0,-0.045046775289312425,0.0004348484448391435
48063,3.0,1,4,48063,48479,3.0,0.03232791283830903,0.0002488081466927764,48479,48747,49.0,-0.02684726835005021,0.00035801886721537594,48747,48484,57.0,-0.05301982256144308,0.00012498393224528998,-0.047539178073184266,0.00045354601361093495
48202,3.0,1,0,48202,PROMEDIO,3.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,-0.11213910394798471,0.00020168673021832195
48202,3.0,1,1,48202,48203,3.0,-0.027064102548500488,0.00025112741028735403,48203,48484,49.0,-0.08335971970010515,0.0002617165818191602,48484,48484,57.0,0.0,0.0,-0.11042382224860564,0.00036271275880059447
