Set,N_Sensors,Offset_Mean,Offset_Std,Error_Mean,Error_Std,Paths_Mean
3.0,10,-0.065539,0.032199,0.000217,4.1e-05,3.6
4.0,10,-0.020692,0.040621,0.000294,7.1e-05,2.7
5.0,11,-0.038852,0.029404,0.00027,4.5e-05,3.636364
6.0,10,-0.016908,0.070542,0.000292,6e-05,2.7
7.0,9,-0.027949,0.032543,0.000244,4.3e-05,3.555556
8.0,10,-0.034658,0.033274,0.000253,4.2e-05,3.6
9.0,12,0.16225,0.084047,0.000198,3.4e-05,3.666667
10.0,12,0.219367,0.253338,0.000268,5.5e-05,2.75
11.0,12,0.322272,0.225448,0.000228,3.7e-05,3.666667
13.0,12,0.313094,0.224949,0.000231,3.8e-05,3.666667
14.0,9,-0.043289,0.300563,0.000306,6.8e-05,2.666667
15.0,10,-0.003452,0.152551,0.000235,4.6e-05,3.6
16.0,10,0.280469,0.231064,0.000296,7.3e-05,2.7
17.0,10,0.314294,0.194883,0.000307,6.2e-05,3.6
18.0,11,0.221788,0.249198,0.000273,3.9e-05,3.636364
19.0,11,-0.026757,0.035246,0.000283,4.8e-05,2.727273
20.0,12,-0.025299,0.02844,0.000249,3.9e-05,3.666667
21.0,10,-0.007265,0.021872,0.000229,3.3e-05,3.6
22.0,10,-0.046473,0.016645,0.00023,4.1e-05,3.6
23.0,8,-0.046231,0.030861,0.000301,7.5e-05,2.625
24.0,11,-0.01234,0.06696,0.000235,3.4e-05,3.636364
25.0,10,-0.031465,0.016918,0.000241,3.5e-05,3.6
26.0,9,0.474087,0.043392,0.000276,5.1e-05,3.555556
27.0,9,0.46488,0.075204,0.000282,6.8e-05,2.666667
28.0,10,0.444194,0.032889,0.000241,4.4e-05,3.6
29.0,11,0.490203,0.045159,0.000251,3.6e-05,3.636364
30.0,8,0.504136,0.052448,0.000324,7.4e-05,2.625
31.0,11,0.507937,0.09707,0.000285,4.4e-05,3.636364
32.0,11,0.517549,0.028211,0.000258,4.3e-05,3.636364
33.0,11,0.48355,0.072366,0.000275,6.4e-05,2.727273
34.0,12,0.473387,0.069616,0.000199,2.6e-05,3.666667
35.0,9,0.480971,0.052063,0.000271,6.4e-05,2.666667
36.0,11,0.475886,0.031457,0.000237,3.8e-05,3.636364
37.0,10,0.475355,0.064971,0.000244,4.1e-05,3.6
38.0,11,0.48329,0.061513,0.00032,6e-05,2.727273
39.0,12,0.47973,0.058403,0.000241,4e-05,3.666667
